LOC100047997	Npy
LOC100047997	Arc
LOC100047997	Bcl2
LOC100047997	Bdnf
LOC100047997	Crh
LOC100047997	Fos
LOC100047997	Fosb
LOC100047997	Mcl1
LOC100047997	Pcna
LOC100047997	Pdyn
Zbtb48	Myocd
Trrap	Pou5f1
Trrap	Rnf2
Trrap	Esrrb
Trrap	Ep400
Trrap	Tfcp2l1
Nfxl1	Nipal1
Zfp513	Mzf1
Zfp513	Pou5f1
Zfp513	Zscan2
Zfp513	Zfp473
Zfp513	Nkd2
Tada3	Kat2a
Tada3	Ndn
Tada3	Csrp2bp
Psip1	Smc3
Psip1	Smc4
Psip1	Nanog
Taf5l	Kat2a
Snapc2	Polr2k
Snapc2	Polr1c
Snapc2	Zfp143
Snapc2	Lzts1
Snapc2	Tbp
Snapc2	Polr3a
Snapc2	Polr2h
Snapc2	Polr3e
Snapc2	Bdp1
Snapc2	Polr2e
Snapc2	Polr2l
Snapc2	Brf2
Snapc2	Polr3k
Snapc2	Polr3d
Snapc2	Polr3g
Snapc2	Polr2f
Snapc2	Polr3f
Snapc2	Polr3b
Snapc2	Snapc1
Snapc2	Snapc3
Snapc2	Polr3h
Dennd4a	Dennd1a
Dennd4a	Dennd1c
Pwp1	Dohh
Pwp1	Tsr1
Pwp1	Utp15
Pwp1	Nop2
Pwp1	Pwp2
Pwp1	Bop1
Pwp1	Ewsr1
Pwp1	Emg1
Pwp1	Polr1c
Pwp1	Bms1
Pwp1	Nle1
Pwp1	Utp18
Pwp1	Nol10
Pwp1	Cirh1a
Pwp1	Dcaf13
Pwp1	Wdr36
Pwp1	Gnl2
Pwp1	Sdad1
Pwp1	Abce1
Pwp1	Rpgrip1l
Pwp1	Dkc1
Pwp1	Wdr3
Pwp1	Imp4
Pwp1	Bysl
Pwp1	Nop58
Pwp1	Ftsj3
Pwp1	Wdr46
Pwp1	Wdr12
Pwp1	Rrs1
Pwp1	Rcl1
Pwp1	Nip7
Pwp1	Pno1
Pwp1	Dimt1
Pwp1	Nop56
Pwp1	Rpf2
Pwp1	Brix1
Pwp1	Mak16
Pwp1	Mki67ip
Pwp1	Gar1
Pwp1	Ebna1bp2
Pwp1	Gtpbp4
Pwp1	Rpf1
Pwp1	Ssbp3
Pwp1	Nmd3
Pwp1	Nat10
Maml1	Tle6
Maml1	Kat2a
Maml1	Hdac3
Maml1	Hes1
Maml1	Hes5
Maml1	Hey1
Maml1	Hey2
Maml1	Ikbkg
Maml1	Hdac10
Maml1	Myc
Maml1	Notch1
Maml1	Notch2
Maml1	Notch3
Maml1	Notch4
Maml1	Kat2b
Maml1	Phf2
Maml1	Rbpj
Maml1	Rbpjl
Maml1	Tle3
Maml1	Tle4
Maml1	Cdk8
Maml1	Cul1
Maml1	Ep300
Maml1	Maml3
Maml1	Fbxw7
Maml1	Heyl
Maml1	Hdac7
Maml1	Snw1
Maml1	Lass2
Maml1	Tbl1xr1
Hoxb2	Phox2b
Isl2	Ldb1
Isl2	Ldb2
Isl2	Lhx4
Isl2	Zfp446
Isl2	Ssbp2
Isl2	Pygo1
Isl2	Ssbp3
Isl2	Ssbp4
Rcor2	Gfi1b
Rcor2	Pou5f1
Rcor2	Tal1
Rcor2	Ctr9
E2f4	Ccna2
E2f4	Ccnd1
E2f4	Cdk1
E2f4	Cdk2
E2f4	Cdkn1a
E2f4	Dhfr
E2f4	Dyrk1a
E2f4	E2f1
E2f4	E2f5
E2f4	H3f3a
E2f4	Ldha
E2f4	Smad2
E2f4	Smad3
E2f4	Smad4
E2f4	Mybl2
E2f4	Myc
E2f4	Ndn
E2f4	Pcna
E2f4	Rb1
E2f4	Rbbp4
E2f4	Rbl1
E2f4	Rbl2
E2f4	Tfdp2
E2f4	Top2a
E2f4	Rab3gap1
E2f4	Lin54
E2f4	Arid1b
E2f4	Npat
E2f4	Hist1h3f
E2f4	Cul1
E2f4	Skp2
E2f4	Hist1h3h
E2f4	Hist1h3i
E2f4	Lin9
E2f4	Lin37
E2f4	Arid1a
E2f4	Hist1h3g
Cnot6	Cnot7
