111	10	4983	20	0	0	0	111	10	38	0	0	0	0
117	9	4981	16	1	0	0	117	9	32	0	1	0	0
110	8	4987	17	1	1	0	110	8	39	0	1	1	0
106	10	4988	19	0	1	0	106	10	42	0	0	1	0
105	8	5009	1	1	0	0	105	8	45	0	1	0	0
99	9	4998	16	1	1	0	99	9	49	0	1	1	0
106	7	5008	2	1	0	0	106	7	45	0	1	0	0
114	10	4980	19	1	0	0	114	10	34	0	1	0	0
120	5	4998	0	1	0	0	120	5	33	0	1	0	0
118	10	4986	9	1	0	0	118	10	30	0	1	0	0
115	8	4999	2	0	0	0	115	8	36	0	0	0	0
118	4	5001	0	1	0	0	118	4	36	0	1	0	0
112	10	4983	19	0	0	0	112	10	37	0	0	0	0
110	6	5005	3	0	0	0	110	6	43	0	0	0	0
106	12	4984	21	0	1	0	106	12	40	0	0	1	0
115	10	4983	15	0	1	0	115	10	33	0	0	1	0
106	8	5006	3	1	0	0	106	8	44	0	1	0	0
94	10	5016	3	1	0	0	94	10	54	0	1	0	0
97	10	4996	19	1	1	0	97	10	50	0	1	1	0
113	9	4987	14	1	0	0	113	9	36	0	1	0	0
107	7	5008	2	0	0	0	107	7	45	0	0	0	0
113	8	4986	15	1	1	0	113	8	36	0	1	1	0
110	8	4987	17	1	1	0	110	8	39	0	1	1	0
104	11	5008	1	0	0	0	104	11	44	0	0	0	0
114	6	4987	16	1	0	0	114	6	38	0	1	0	0
109	7	4991	16	0	1	0	109	7	42	0	0	1	0
117	9	4996	1	1	0	0	117	9	32	0	1	0	0
107	10	4992	14	1	0	0	107	10	41	0	1	0	0
107	9	5008	0	0	0	0	107	9	43	0	0	0	0
115	5	4993	11	0	0	0	115	5	39	0	0	0	0
114	8	4980	20	1	1	0	114	8	35	0	1	1	0
107	8	5006	2	1	0	0	107	8	43	0	1	0	0
112	7	5002	2	1	0	0	112	7	39	0	1	0	0
108	8	4986	20	1	1	0	108	8	41	0	1	1	0
116	8	4981	19	0	0	0	116	8	35	0	0	0	0
113	8	4986	16	1	0	0	113	8	37	0	1	0	0
